id,name_zh,name_en,lat,lon,open_date,close_date,open_dates_raw,close_dates_raw
Q11129796,水家湖站,Shuijiahu Railway Station,32.48528611,117.16417778,,,,
Q11129957,水晶波站,Shuijingbo Railway Station,24.975037,103.1210788,,,,
Q11129961,水曲柳站,Shuiquliu railway station,44.491838,127.050121,,,,
Q11130167,水洋站,Shuiyang Railway Station,36.465205555,113.334119444,1984-01-01,,1984-05-01,
Q11130399,水社寮車站,Shuisheliao Station,23.5039,120.66,1910-01-01,,1910-10-01,
Q11130728,水里車站,Shuili Station,23.8186,120.853,1922-01-01,,1922-01-14,
Q11131008,永乐店站,Yongledian Railway Station,34.535913468,108.942526422,,,,
Q11131023,永乐街站,Yonglejie Railway Station,24.998861761,109.152842147,,,,
Q11131543,永宁镇站,Yongningzhen Railway Station,32.14055556,118.57888889,,,,
Q11131645,永安站,Yong'an Railway Station,25.977727,117.373092,,,,
Q11131900,永州站,Yongzhou Railway Station,26.45777778,111.56583333,2004-01-01,,2004-04-18,
Q11131928,永平站,Yongping Railway Station,28.219848,117.741539,1986-01-01,,1986-12-02,
Q11132173,永昌站,Yongchang Railway Station,29.249166666,119.358611111,,,,
Q11132286,永春車站,Yongchun Station,24.5761,121.846,1980-01-01,2002-01-01,1980-02-01,2002-12-18
Q11132401,永浆站,Yongjiang Railway Station,25.943039,117.38822,,,,
Q11132508,永登站,Yongdeng Railway Station,36.7214,103.274,,,,
Q11132609,永福站,Yongfu Railway Station,24.998242,109.99133,,,,
Q11132707,永茂站,Yongmao Railway Station,29.003959959,110.271876326,,,,
Q11132806,永郎站,Yonglang Railway Station,27.1479332,102.2481039,,,,
Q11133029,汇塘河站,Huitanghe Railway Station,27.971944444,106.919444444,,,,
Q11133086,汉中站,Hanzhong Railway Station,33.09194444,107.02555556,,,,
Q11133316,汉沽站,Hangu Railway Station,39.2717,117.79989,1887-01-01,,1887-01-01,
Q11133333,汉源站,Hanyuan Railway Station,29.235506,102.904459,1970-01-01,,1970-07-01,
Q17059323,灵山站,Lingshan Railway Station,41.196671,123.044039,,,,
Q17059337,烟筒屯站,Yantongtun Railway Station,47.001913888,124.155383333,,,,
Q17059367,观音坝站,Guanyinba Railway Station,32.596245088,105.861860146,,,,
Q17059383,董村站,Dongcun Railway Station,34.897747778,110.729478665,,,,
Q17059409,观音山站,Guanyinshan Railway Station,34.26416667,106.9875,,,,
Q17059509,解县站,Haixian Railway Station,34.926018,110.84635,,,,
Q17059650,王家井站,Wangjiajing Railway Station,37.82694444,115.38083333,1940-01-01,,1940-01-01,
Q17059754,道镇站,Daozhen Railway Station,36.132416666,109.369266666,,,,
Q17059898,南关镇站,Nanguanzhen Railway Station,27.656465,106.913429,,2019-01-01,,2019-11-25
Q17059913,遵义西站,Zunyixi Railway Station,27.706286,106.945088,,2019-01-01,,2019-11-25
Q17059957,蚌埠东站,Bengbudong Railway Station,32.93,117.45194444,,,,
Q17060040,赤峰站,Chifeng Railway Station,42.273599,118.895648,,,,
Q17060107,赶水站,Ganshui Railway Station,28.6725,106.8175,,,,
Q17060210,蛤蟆塘站,Hamatang Railway Station,40.174028,124.379139,1907-01-01,,1907-01-01,
Q17060255,蜀山站,Shushan Railway Station,30.041264,121.203107,,,,
Q17060258,班猫箐站,Banmaoqing Railway Station,24.933217,103.19955,,,,
Q17060296,邢台站,Xingtai railway station,37.06888889,114.48611111,1903-01-01,,1903-01-01,
Q17060303,转关口站,Zhuanguankou Railway Station,28.995627,106.690502,,,,
Q17060333,邢家堡站,Xingjiabu Railway Station,40.31792222,115.54544444,,,,
Q17060407,轸溪站,Zhenxi Railway Station,29.326331,103.556935,,,,
Q17060464,那玉站,Nayu Railway Station,26.250871295,105.426825423,,,,
Q17060498,那霍站,Nahuo Railway Station,21.8473,111.23563,,,,
Q17060614,辛集站,Xinji Railway Station,37.904041666,115.209166666,,,,
Q17060655,融安站,Rong'an Railway Station,25.18782,109.407649,,,,
Q17060703,邳州站,Pizhou railway station,34.3184,117.953,1923-01-01,,1923-01-01,
Q17060722,邵岗集站,Shaogangji Railway Station,34.753236111,114.090386111,,,,
Q11150806,海拉尔站,Hailar Railway Station,49.22833333,119.73611111,1903-01-01,,1903-01-01,
Q11150884,海棠寺站,Haitangsi Railway Station,34.77822222,113.6410056,1905-01-01,,1905-01-01,
Q11151043,海湾站,Haiwan Railway Station,30.868126,121.554562,,,,
